Rank,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Regional_Sales,Breakout,Years_Since_Release
1,25,10,41.49,29.02,3.77,8.46,82.74,82.74000000000001,1,19.0
2,11,4,29.08,3.58,6.81,0.77,40.24,40.24,1,40.0
3,25,6,15.85,12.88,3.79,3.31,35.82,35.830000000000005,1,17.0
4,25,10,15.75,11.01,3.28,2.96,33.0,33.0,1,16.0
5,5,7,11.27,8.89,10.22,1.0,31.37,31.380000000000003,1,29.0
6,5,5,23.2,2.26,4.22,0.58,30.26,30.26,1,36.0
7,4,4,11.38,9.23,6.5,2.9,30.01,30.01,1,19.0
8,25,3,14.03,9.2,2.93,2.85,29.02,29.01,1,19.0
9,25,4,14.59,7.06,4.7,2.26,28.62,28.61,1,16.0
10,11,8,26.93,0.63,0.28,0.47,28.31,28.31,1,41.0
11,4,9,9.07,11.0,1.93,2.75,24.76,24.75,1,20.0
12,4,6,9.81,7.57,4.13,1.92,23.42,23.43,1,20.0
13,5,7,9.0,6.18,7.2,0.71,23.1,23.09,1,26.0
14,25,10,8.94,8.03,3.6,2.15,22.72,22.72,1,18.0
15,25,10,9.09,8.59,2.53,1.79,22.0,22.0,1,16.0
16,28,3,14.97,4.94,0.24,1.67,21.82,21.82,1,15.0
17,17,0,7.01,9.27,0.97,4.14,21.4,21.39,1,12.0
18,16,0,9.43,0.4,0.41,10.57,20.81,20.81,1,21.0
19,23,4,12.78,3.75,3.54,0.55,20.61,20.62,1,35.0
20,4,3,4.75,9.26,4.16,2.05,20.22,20.22,1,20.0
21,4,7,6.42,4.52,6.04,1.37,18.36,18.35,1,19.0
22,5,4,10.83,2.71,4.18,0.42,18.14,18.14,1,36.0
23,11,4,9.54,3.44,3.84,0.46,17.28,17.28,1,37.0
24,28,0,9.63,5.31,0.06,1.38,16.38,16.380000000000003,1,12.0
25,16,0,8.41,5.49,0.47,1.78,16.15,16.150000000000002,1,23.0
26,6,7,6.06,3.9,5.38,0.5,15.85,15.84,1,23.0
27,4,7,5.57,3.28,5.65,0.82,15.32,15.32,1,15.0
28,4,5,3.44,5.36,5.32,1.18,15.3,15.3,1,20.0
29,16,6,6.85,5.09,1.87,1.16,14.98,14.97,1,24.0
30,28,8,9.03,4.28,0.13,1.32,14.76,14.76,1,14.0
31,5,7,5.89,5.04,3.12,0.59,14.64,14.64,1,27.0
32,28,8,9.67,3.73,0.11,1.13,14.64,14.64,1,15.0
33,2,7,5.17,4.05,4.34,0.79,14.35,14.349999999999998,1,12.0
34,18,8,5.77,5.81,0.35,2.31,14.24,14.239999999999998,1,10.0
35,17,8,4.99,5.88,0.65,2.52,14.03,14.04,1,13.0
36,28,8,8.25,4.3,0.07,1.12,13.73,13.740000000000002,1,13.0
37,28,8,8.52,3.63,0.08,1.29,13.51,13.52,1,16.0
38,17,8,5.54,5.82,0.49,1.62,13.46,13.47,1,14.0
39,16,0,6.99,4.51,0.3,1.3,13.1,13.1,1,24.0
40,25,2,6.75,2.61,2.66,1.02,13.04,13.04,1,17.0
41,17,8,5.98,4.44,0.48,1.83,12.73,12.730000000000002,1,15.0
42,4,9,2.55,3.52,5.33,0.88,12.27,12.28,1,20.0
43,2,6,4.74,3.91,2.67,0.89,12.21,12.21,1,14.0
44,28,8,7.97,2.83,0.13,1.21,12.14,12.14,1,18.0
45,18,0,3.8,5.81,0.36,2.02,11.98,11.989999999999998,1,11.0
46,4,0,4.4,2.77,3.96,0.77,11.9,11.9,1,16.0
47,10,4,6.91,2.85,1.91,0.23,11.89,11.9,1,29.0
48,16,6,3.01,0.01,1.1,7.53,11.66,11.65,1,21.0
49,25,4,6.16,3.4,1.2,0.76,11.52,11.52,1,18.0
50,2,7,4.23,3.37,3.08,0.65,11.33,11.33,1,11.0
51,5,1,6.16,2.04,2.69,0.29,11.18,11.179999999999998,1,33.0
52,28,0,6.76,3.1,0.14,1.03,11.02,11.03,1,17.0
53,15,6,4.02,3.87,2.54,0.52,10.95,10.95,1,28.0
54,2,4,4.89,2.99,2.13,0.78,10.79,10.79,1,14.0
55,17,6,2.96,4.88,0.81,2.12,10.77,10.77,1,15.0
56,17,8,4.99,3.69,0.38,1.63,10.69,10.69,1,16.0
57,17,0,4.76,3.76,0.44,1.62,10.57,10.579999999999998,1,17.0
58,23,4,5.99,2.15,2.12,0.29,10.55,10.55,1,32.0
59,6,7,4.34,2.65,3.15,0.35,10.49,10.49,1,21.0
60,4,4,5.08,3.11,1.25,0.98,10.42,10.42,1,21.0
61,25,3,6.05,3.15,0.0,1.07,10.26,10.27,1,14.0
